[26/54] soft-fs-grid-026: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-026 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.01 --fs-beta 0.01 --fs-eta-d 0.01
[27/54] soft-fs-grid-027: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-027 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.01 --fs-beta 0.01 --fs-eta-d 0.03
[28/54] soft-fs-grid-028: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-028 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.0001 --fs-eta-d 0.005
[29/54] soft-fs-grid-029: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-029 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.0001 --fs-eta-d 0.01
[30/54] soft-fs-grid-030: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-030 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.0001 --fs-eta-d 0.03
[31/54] soft-fs-grid-031: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-031 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.001 --fs-eta-d 0.005
[32/54] soft-fs-grid-032: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-032 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.001 --fs-eta-d 0.01
[33/54] soft-fs-grid-033: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-033 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.001 --fs-eta-d 0.03
[34/54] soft-fs-grid-034: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-034 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.01 --fs-eta-d 0.005
[35/54] soft-fs-grid-035: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-035 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 0.6 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.01 --fs-eta-d 0.01
